covariate 1:   type=float, missing=  0 of  50, average=0.066768, stdev=0.898682, range=[-2.041655,2.519213], active=1
covariate 2:   type=float, missing=  0 of  50, average=-0.204757, stdev=0.935925, range=[-2.239351,2.224988], active=1
covariate 3:   type=float, missing=  0 of  50, average=-0.005005, stdev=0.945807, range=[-2.259698,2.006057], active=1
covariate 4:   type=float, missing=  0 of  50, average=0.011450, stdev=0.918140, range=[-2.586590,1.477408], active=1
covariate 5:   type=float, missing=  0 of  50, average=0.025417, stdev=1.026856, range=[-2.569519,1.874307], active=1
covariate 6:   type=float, missing=  0 of  50, average=0.027349, stdev=0.871158, range=[-1.842852,1.917562], active=1
covariate 7:   type=float, missing=  0 of  50, average=-0.048767, stdev=0.917106, range=[-1.996213,1.740944], active=1
covariate 8:   type=float, missing=  0 of  50, average=0.187122, stdev=1.118205, range=[-1.728685,2.475585], active=1
covariate 9:   type=float, missing=  0 of  50, average=-0.073382, stdev=0.934434, range=[-2.239820,1.597648], active=1
covariate 10:  type=float, missing=  0 of  50, average=0.058641, stdev=0.849357, range=[-1.724553,2.765934], active=1
covariate 11:  type=float, missing=  0 of  50, average=0.177284, stdev=0.813364, range=[-1.713159,1.503440], active=1
covariate 12:  type=float, missing=  0 of  50, average=0.086821, stdev=0.950915, range=[-1.905472,1.934897], active=1
covariate 13:  type=float, missing=  0 of  50, average=0.124413, stdev=0.976210, range=[-3.039797,2.573013], active=1
covariate 14:  type=float, missing=  0 of  50, average=0.169727, stdev=1.017799, range=[-2.069323,2.347717], active=1
covariate 15:  type=float, missing=  0 of  50, average=-0.220675, stdev=1.059759, range=[-2.478299,3.151568], active=1
covariate 16:  type=float, missing=  0 of  50, average=-0.023030, stdev=1.046453, range=[-1.969519,2.763091], active=1
covariate 17:  type=float, missing=  0 of  50, average=-0.100656, stdev=1.012536, range=[-2.541886,2.941149], active=1
covariate 18:  type=float, missing=  0 of  50, average=-0.114840, stdev=1.023485, range=[-2.143963,1.989683], active=1
covariate 19:  type=float, missing=  0 of  50, average=0.082264, stdev=0.808633, range=[-1.687110,2.069309], active=1
covariate 20:  type=float, missing=  0 of  50, average=-0.197388, stdev=0.970498, range=[-1.913056,1.856745], active=1
covariate 21:  type=float, missing=  0 of  50, average=0.163776, stdev=1.103117, range=[-2.173122,2.373965], active=1
covariate 22:  type=float, missing=  0 of  50, average=0.107652, stdev=0.807205, range=[-1.412550,2.334194], active=1
covariate 23:  type=float, missing=  0 of  50, average=0.009734, stdev=0.999201, range=[-1.627840,1.901601], active=1
covariate 24:  type=float, missing=  0 of  50, average=0.238887, stdev=0.926020, range=[-1.925137,2.823949], active=1
covariate 25:  type=float, missing=  0 of  50, average=-0.071188, stdev=0.821244, range=[-1.781465,1.709637], active=1
covariate 26:  type=float, missing=  0 of  50, average=-0.073491, stdev=0.998609, range=[-1.892429,2.409397], active=1
covariate 27:  type=float, missing=  0 of  50, average=-0.022217, stdev=1.002684, range=[-1.788738,2.805267], active=1
covariate 28:  type=float, missing=  0 of  50, average=-0.072767, stdev=0.844447, range=[-2.055909,1.929057], active=1
covariate 29:  type=float, missing=  0 of  50, average=0.092316, stdev=0.955096, range=[-1.714944,2.651226], active=1
covariate 30:  type=float, missing=  0 of  50, average=0.043814, stdev=1.018564, range=[-2.383298,2.512213], active=1
covariate 31:  type=float, missing=  0 of  50, average=0.079209, stdev=1.159744, range=[-2.879930,2.389798], active=1
covariate 32:  type=float, missing=  0 of  50, average=-0.123321, stdev=0.984666, range=[-2.085224,2.014536], active=1
covariate 33:  type=float, missing=  0 of  50, average=-0.132994, stdev=0.880225, range=[-1.990708,2.670045], active=1
covariate 34:  type=float, missing=  0 of  50, average=-0.287678, stdev=0.836776, range=[-2.159321,1.249412], active=1
covariate 35:  type=float, missing=  0 of  50, average=0.096677, stdev=1.019088, range=[-2.870873,1.922257], active=1
covariate 36:  type=float, missing=  0 of  50, average=0.006033, stdev=0.930860, range=[-3.123629,2.402648], active=1
covariate 37:  type=float, missing=  0 of  50, average=0.346210, stdev=0.946523, range=[-2.107773,1.902595], active=1
covariate 38:  type=float, missing=  0 of  50, average=-0.064555, stdev=0.913973, range=[-3.429001,1.296642], active=1
covariate 39:  type=float, missing=  0 of  50, average=-0.083764, stdev=1.010922, range=[-2.085710,3.336315], active=1
covariate 40:  type=float, missing=  0 of  50, average=0.001164, stdev=0.845063, range=[-1.750369,1.848118], active=1
covariate 41:  type=float, missing=  0 of  50, average=-0.087092, stdev=0.922326, range=[-2.159618,2.032490], active=1
covariate 42:  type=float, missing=  0 of  50, average=-0.017465, stdev=1.229939, range=[-2.431526,3.768059], active=1
covariate 43:  type=float, missing=  0 of  50, average=0.140738, stdev=0.829747, range=[-1.793692,1.836503], active=1
covariate 44:  type=float, missing=  0 of  50, average=0.114958, stdev=0.928298, range=[-1.815311,2.323881], active=1
covariate 45:  type=float, missing=  0 of  50, average=-0.256551, stdev=0.930781, range=[-2.293469,1.169525], active=1
covariate 46:  type=float, missing=  0 of  50, average=-0.062746, stdev=0.741162, range=[-1.496402,2.133165], active=1
covariate 47:  type=float, missing=  0 of  50, average=-0.160936, stdev=0.975849, range=[-2.622705,2.168911], active=1
covariate 48:  type=float, missing=  0 of  50, average=0.141816, stdev=0.847311, range=[-1.597407,2.066164], active=1
covariate 49:  type=float, missing=  0 of  50, average=-0.067036, stdev=1.056181, range=[-2.199020,2.717596], active=1
covariate 50:  type=float, missing=  0 of  50, average=-0.051445, stdev=0.710386, range=[-2.026461,1.466663], active=1
covariate 51:  type=float, missing=  0 of  50, average=0.055045, stdev=1.004063, range=[-1.641217,2.648765], active=1
covariate 52:  type=float, missing=  0 of  50, average=0.050410, stdev=0.925781, range=[-2.300397,1.637306], active=1
covariate 53:  type=float, missing=  0 of  50, average=-0.110459, stdev=0.970641, range=[-1.562747,2.363707], active=1
covariate 54:  type=float, missing=  0 of  50, average=0.132313, stdev=1.136301, range=[-2.191236,2.622772], active=1
covariate 55:  type=float, missing=  0 of  50, average=0.051638, stdev=0.832489, range=[-1.460027,1.672851], active=1
covariate 56:  type=float, missing=  0 of  50, average=0.109830, stdev=1.033133, range=[-2.044819,2.564338], active=1
covariate 57:  type=float, missing=  0 of  50, average=-0.147899, stdev=0.891720, range=[-2.065364,1.665953], active=1
covariate 58:  type=float, missing=  0 of  50, average=0.064773, stdev=1.070251, range=[-2.073062,2.669498], active=1
covariate 59:  type=float, missing=  0 of  50, average=0.246469, stdev=0.995635, range=[-2.271290,2.378427], active=1
covariate 60:  type=float, missing=  0 of  50, average=0.109243, stdev=1.090665, range=[-2.837188,2.073570], active=1
